125

2 2
0 1 25
1 0 0

31 23
0 7 29
7 26 -26
11 29 -23
14 25 -20
4 18 14
18 10 6
30 26 -25
11 28 1
10 19 31
4 17 -17
27 15 -1
12 8 5
27 16 -28
30 12 29
14 27 -20
11 30 -5
18 25 -9
28 0 15
29 4 -28
19 21 -18
16 13 17
6 22 30
5 30 26

14 12
0 5 10
4 6 -26
7 11 -21
10 2 22
0 11 10
9 2 -3
2 0 16
1 2 -24
6 1 27
11 10 -18
11 4 -11
1 6 -10

31 31
30 1 12
14 8 21
25 6 0
22 6 -14
8 4 -12
6 0 11
21 15 -4
0 14 26
2 30 22
12 14 -3
10 4 -29
22 1 12
11 30 31
13 18 -22
16 3 -19
22 14 2
22 24 -2
8 2 -2
3 18 -1
29 25 -15
26 20 27
27 26 -1
5 12 6
3 17 -31
4 8 -32
27 9 -16
28 14 21
30 18 29
6 25 0
6 1 14
19 12 0

8 11
2 3 7
2 1 -27
1 4 -31
4 6 -13
2 4 -28
5 1 -28
5 4 11
6 7 -24
7 1 12
5 0 23
3 1 -30

15 30
2 14 27
5 10 27
12 14 -32
0 8 26
11 14 7
3 13 -13
1 12 11
4 9 -26
12 13 -26
5 1 -24
5 6 -14
2 1 16
14 12 -18
10 8 -10
3 7 6
10 0 -23
9 0 9
10 11 -18
6 7 -4
1 13 21
6 3 -24
13 1 -15
3 1 25
6 9 7
4 8 -5
5 2 3
5 13 26
8 11 -8
7 12 18
14 11 -22

29 27
25 21 -14
14 9 21
20 16 11
12 21 17
11 9 -21
27 25 17
13 6 15
7 26 -23
6 1 11
18 16 27
18 6 -23
22 25 -22
12 4 16
21 15 -14
24 22 -24
22 21 19
6 17 -3
4 20 -22
15 14 16
26 0 -4
28 9 0
25 12 -22
2 12 -28
15 16 9
17 13 -16
24 21 0
5 10 -28

22 12
1 16 13
2 18 17
5 11 8
18 3 -25
16 5 8
8 17 -1
16 20 -25
20 10 -27
14 21 30
16 15 23
19 21 6
11 14 -7

29 22
1 7 -26
0 27 12
27 25 -6
7 10 -29
18 17 29
26 24 16
16 27 12
23 3 24
16 25 23
5 0 -27
18 4 -20
10 28 6
15 8 -9
21 12 31
22 0 27
17 9 13
12 4 -9
22 17 -21
5 4 -13
2 8 10
10 23 8
13 4 27

14 25
12 0 20
5 4 -10
3 13 31
5 6 21
10 8 25
0 11 10
2 10 -26
10 2 12
10 4 -2
7 11 -3
11 5 -28
12 11 -26
6 8 -5
6 7 -11
7 1 -1
5 10 22
4 13 8
6 10 7
13 3 -25
7 9 10
5 13 -24
11 9 27
11 2 -19
10 9 -19
7 5 -6

2 1
0 1 13

16 17
11 9 -12
15 4 19
0 5 -32
13 3 4
14 15 -20
7 2 -1
8 15 -19
13 6 -14
6 8 -2
1 6 -12
4 1 11
0 1 -16
12 14 -28
2 3 -5
1 15 -3
5 1 -8
14 2 0

8 10
4 2 22
6 4 12
0 3 3
6 3 25
0 6 -16
3 0 15
0 2 1
7 5 8
5 6 -28
0 5 23

27 31
8 23 -24
21 4 19
9 15 -8
19 14 -21
7 21 26
9 18 16
15 17 7
0 5 26
17 1 19
14 12 -25
20 12 -16
11 0 -17
15 23 6
0 23 19
25 6 29
17 11 14
9 3 -29
26 18 -11
5 16 -16
16 17 -10
3 4 -4
12 3 22
11 21 -19
20 0 25
23 19 -7
24 11 -22
25 4 -27
5 14 -16
2 4 5
7 2 -10
8 6 -20

6 11
2 1 -6
0 4 -24
4 1 -12
4 2 13
0 3 -4
3 5 -16
1 5 22
0 1 -10
4 3 4
1 0 -12
1 4 -7

23 5
15 4 29
14 9 0
6 0 2
18 12 -16
7 19 28

5 11
0 1 -31
0 3 27
0 4 -19
4 2 4
2 4 12
3 1 -25
2 0 -9
1 2 -30
0 2 26
4 3 -10
1 4 -17

23 22
13 14 -2
11 7 -26
19 13 4
2 22 24
19 16 27
4 20 29
2 12 -29
10 9 -16
6 17 19
5 18 -29
3 19 -3
0 22 -15
20 19 18
8 18 25
8 11 22
10 18 1
21 17 -9
0 4 -9
6 20 -11
20 5 18
21 14 28
10 17 -10

28 4
12 5 -30
1 16 1
0 23 27
9 25 29

25 24
15 6 5
13 2 8
13 0 -7
23 4 -16
14 21 -26
2 5 10
24 10 -4
8 9 -28
14 0 -20
4 2 23
6 17 1
22 4 -23
20 11 13
17 24 -11
24 18 2
23 10 26
19 12 -5
2 1 -16
14 8 -22
6 13 -21
19 1 9
13 12 1
16 15 27
5 16 23

26 28
10 17 5
8 20 -11
10 11 -31
7 3 -5
3 7 30
14 7 17
2 19 -7
19 21 13
18 3 -22
7 1 -3
6 17 -11
8 15 14
7 11 29
17 23 9
20 21 -6
7 13 -29
23 0 -14
8 4 7
12 16 18
0 20 -1
16 9 -20
19 7 8
10 15 17
4 17 18
20 3 -8
18 4 17
23 4 -13
4 25 16

19 15
6 13 17
1 12 4
9 8 -11
9 2 14
5 14 9
3 10 -17
10 0 12
15 13 -13
13 0 -10
5 10 -6
15 8 -18
12 2 -22
10 18 4
5 13 27
9 12 -19

16 15
6 12 3
6 3 -31
9 14 -24
12 0 -1
7 10 -6
3 6 17
4 7 9
7 2 -26
9 13 1
2 0 13
5 11 27
11 2 6
1 2 11
12 4 -22
3 0 -31

